var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
p68.162,vertical_integral_of_northward_kinetic_energy_flux,p68.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward kinetic energy flux,W m**-1,,0
p69.162,vertical_integral_of_eastward_heat_flux,p69.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward heat flux,W m**-1,,0
p70.162,vertical_integral_of_northward_heat_flux,p70.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward heat flux,W m**-1,,0
p71.162,vertical_integral_of_eastward_water_vapour_flux,p71.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward water vapour flux,kg m**-1 s**-1,,0
p72.162,vertical_integral_of_northward_water_vapour_flux,p72.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward water vapour flux,kg m**-1 s**-1,,0
p73.162,vertical_integral_of_eastward_geopotential_flux,p73.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward geopotential flux,W m**-1,,0
p74.162,vertical_integral_of_northward_geopotential_flux,p74.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward geopotential flux,W m**-1,,0
p75.162,vertical_integral_of_eastward_total_energy_flux,p75.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward total energy flux,W m**-1,,0
p76.162,vertical_integral_of_northward_total_energy_flux,p76.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward total energy flux,W m**-1,,0
p77.162,vertical_integral_of_eastward_ozone_flux,p77.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward ozone flux,kg m**-1 s**-1,,0
p78.162,vertical_integral_of_northward_ozone_flux,p78.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward ozone flux,kg m**-1 s**-1,,0
p79.162,vertical_integral_of_divergence_of_cloud_liquid_water_flux,p79.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of cloud liquid water flux,kg m**-2 s**-1,,0
p80.162,vertical_integral_of_divergence_of_cloud_frozen_water_flux,p80.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of cloud frozen water flux,kg m**-2 s**-1,,0
p81.162,vertical_integral_of_divergence_of_mass_flux,p81.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of mass flux,kg m**-2 s**-1,,0
p82.162,vertical_integral_of_divergence_of_kinetic_energy_flux,p82.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of kinetic energy flux,W m**-2,,0
p83.162,vertical_integral_of_divergence_of_thermal_energy_flux,p83.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of thermal energy flux,W m**-2,,0
