gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
gh           Geopotential height  800          isobaricInhPa 
t            Temperature  800          isobaricInhPa 
r            Relative humidity  800          isobaricInhPa 
tcc          Total Cloud Cover  800          isobaricInhPa 
w            Vertical velocity  800          isobaricInhPa 
wz           Geometric vertical velocity  800          isobaricInhPa 
u            U component of wind  800          isobaricInhPa 
v            V component of wind  800          isobaricInhPa 
absv         Absolute vorticity  800          isobaricInhPa 
clwmr        Cloud mixing ratio  800          isobaricInhPa 
icmr         Ice water mixing ratio  800          isobaricInhPa 
rwmr         Rain mixing ratio  800          isobaricInhPa 
snmr         Snow mixing ratio  800          isobaricInhPa 
grle         Graupel (snow pellets)  800          isobaricInhPa 
gh           Geopotential height  850          isobaricInhPa 
t            Temperature  850          isobaricInhPa 
r            Relative humidity  850          isobaricInhPa 
tcc          Total Cloud Cover  850          isobaricInhPa 
w            Vertical velocity  850          isobaricInhPa 
wz           Geometric vertical velocity  850          isobaricInhPa 
u            U component of wind  850          isobaricInhPa 
v            V component of wind  850          isobaricInhPa 
absv         Absolute vorticity  850          isobaricInhPa 
clwmr        Cloud mixing ratio  850          isobaricInhPa 
icmr         Ice water mixing ratio  850          isobaricInhPa 
rwmr         Rain mixing ratio  850          isobaricInhPa 
snmr         Snow mixing ratio  850          isobaricInhPa 
grle         Graupel (snow pellets)  850          isobaricInhPa 
o3mr         Ozone mixing ratio  850          isobaricInhPa 
gh           Geopotential height  900          isobaricInhPa 
t            Temperature  900          isobaricInhPa 
r            Relative humidity  900          isobaricInhPa 
tcc          Total Cloud Cover  900          isobaricInhPa 
w            Vertical velocity  900          isobaricInhPa 
wz           Geometric vertical velocity  900          isobaricInhPa 
u            U component of wind  900          isobaricInhPa 
v            V component of wind  900          isobaricInhPa 
absv         Absolute vorticity  900          isobaricInhPa 
clwmr        Cloud mixing ratio  900          isobaricInhPa 
icmr         Ice water mixing ratio  900          isobaricInhPa 
rwmr         Rain mixing ratio  900          isobaricInhPa 
snmr         Snow mixing ratio  900          isobaricInhPa 
grle         Graupel (snow pellets)  900          isobaricInhPa 
gh           Geopotential height  925          isobaricInhPa 
t            Temperature  925          isobaricInhPa 
r            Relative humidity  925          isobaricInhPa 
tcc          Total Cloud Cover  925          isobaricInhPa 
w            Vertical velocity  925          isobaricInhPa 
wz           Geometric vertical velocity  925          isobaricInhPa 
u            U component of wind  925          isobaricInhPa 
v            V component of wind  925          isobaricInhPa 
absv         Absolute vorticity  925          isobaricInhPa 
clwmr        Cloud mixing ratio  925          isobaricInhPa 
icmr         Ice water mixing ratio  925          isobaricInhPa 
rwmr         Rain mixing ratio  925          isobaricInhPa 
snmr         Snow mixing ratio  925          isobaricInhPa 
grle         Graupel (snow pellets)  925          isobaricInhPa 
gh           Geopotential height  950          isobaricInhPa 
t            Temperature  950          isobaricInhPa 
r            Relative humidity  950          isobaricInhPa 
tcc          Total Cloud Cover  950          isobaricInhPa 
w            Vertical velocity  950          isobaricInhPa 
wz           Geometric vertical velocity  950          isobaricInhPa 
u            U component of wind  950          isobaricInhPa 
v            V component of wind  950          isobaricInhPa 
absv         Absolute vorticity  950          isobaricInhPa 
clwmr        Cloud mixing ratio  950          isobaricInhPa 
icmr         Ice water mixing ratio  950          isobaricInhPa 
rwmr         Rain mixing ratio  950          isobaricInhPa 
snmr         Snow mixing ratio  950          isobaricInhPa 
grle         Graupel (snow pellets)  950          isobaricInhPa 
hindex       Haines Index  0            surface     
gh           Geopotential height  975          isobaricInhPa 
